Country,Year,"Fertility rate, total (births per woman)","Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net inflows (BoP, current US$)","Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Human capital index (HCI) (scale 0-1),rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k
Sweden,2014,1.88,-1.0454347804234385,-6039792919.86721,7.57372999191284,12.8345699310303,,481349.5625,471940.90625,9.692131,4.7353644371032715,1619.4304892979274,3.386002540588379,335961.25,462968.65625,480251.90625,457363.84375,2131156.25,0.03222084417939186,0.8428350687026978,0.8238473534584045,471131.4375,347185.875,480038.59375,2178361.5,0.9270572066307068,0.9735221862792969,0.9631370902061462,0.5543705224990845,0.07131676375865936,0.042985379695892334,6.860785,1.2627493143081665,1.2117891311645508,1.2724311351776123,ICP PPP timeseries: benchmark or interpolated,Benchmark,Market-based,Regular,Regular,0.7699104769126777,,0.49449601769447327,0.2776944637298584,0.2400640845298767,0.4961000382900238,-0.5409058332443237,0.03255125880241394,1.2045801877975464,1.0769884586334229,1.3825690746307373,0.7227910161018372,0.6548343896865845,1.0444544553756714,1.1318336725234985
Sweden,2015,1.85,1.9488944252509917,9777569491.28413,7.4439001083374,13.0132026672363,,511993.375,489265.21875,9.764949999999999,4.7906107902526855,1620.925637025481,3.3959405422210693,352512.8125,489652.28125,509045.5,485116.34375,2163540.75,0.031596675515174866,0.8707749247550964,0.8474141359329224,492281.84375,358625.03125,501867.28125,2217425.25,0.9503078460693359,0.9974179267883301,0.9873256683349609,0.54151451587677,0.07741352915763855,0.04345632344484329,8.43484083333333,1.0282477140426636,0.9922567009925842,1.0412013530731201,ICP PPP timeseries: benchmark or interpolated,Benchmark,Market-based,Regular,Regular,0.7618111930973481,,0.48037636280059814,0.2826939821243286,0.24627986550331116,0.434950590133667,-0.47915118932724,0.0348503515124321,0.9979767203330994,0.8997427225112915,1.0872923135757446,0.6635066270828247,0.595244288444519,0.8723944425582886,0.9938457012176514
Sweden,2016,1.85,3.0085390806046823,15470455705.9977,7.61861991882324,13.3330450057983,,524448.9375,496575.71875,9.836007,4.853437900543213,1634.1693046053304,3.4059081077575684,363355.40625,504734.03125,520678.84375,496534.0625,2251250.75,0.03241287171840668,0.866101861000061,0.8505293726921082,502475.0,368725.09375,516518.46875,2258994.25,0.97282874584198,0.9941356778144836,0.9922594428062439,0.5499001741409302,0.07399474829435349,0.04398290067911148,8.56199166666667,1.0249404907226562,0.9903507828712463,1.0385081768035889,ICP PPP timeseries: benchmark or interpolated,Benchmark,Market-based,Regular,Regular,0.7464862803961138,,0.4690607786178589,0.2847309410572052,0.2627226710319519,0.4270457625389099,-0.47750142216682434,0.03394123911857605,1.0152795314788818,0.9014520645141602,1.042189121246338,0.6568155884742737,0.5946290493011475,0.8699292540550232,0.940359354019165
Sweden,2017,1.78,4.533844068219753,24305209924.7369,7.56883001327515,13.6095180511475,0.8,544587.6875,515378.21875,9.904895999999999,4.9402899742126465,1621.4727106008052,3.4159047603607178,374975.0625,530784.0625,544587.6875,515378.21875,2306149.75,0.033030714839696884,0.8701171278953552,0.8620162606239319,515378.21875,374975.0625,530784.0625,2306149.75,1.0,1.0,1.0,0.5500876307487488,0.07285706698894501,0.04454241320490837,8.54886083333333,1.0350823402404785,0.9934464693069458,1.0497509241104126,Benchmark,Benchmark,Market-based,Regular,Regular,0.7473436237368316,,0.4634666442871094,0.3023197054862976,0.2641059458255768,0.4393801689147949,-0.49700939655303955,0.02773689478635788,1.0355159044265747,0.8932443261146545,1.034321665763855,0.6752220392227173,0.6019766926765442,0.9020786881446838,0.9337112307548523
Sweden,2018,1.76,-0.12953694745426433,-714153381.400273,7.64084005355835,13.8210620880127,0.802509963512421,552327.0625,516270.25,9.971637999999999,4.995614051818848,1620.7348412028955,3.425930976867676,381317.0,539271.0625,551598.875,516469.6875,2343227.0,0.03364921733736992,0.8469229936599731,0.850268542766571,525428.125,380503.6875,539865.4375,2352152.5,1.0273611545562744,0.9997239112854004,0.9973795413970947,0.5566661953926086,0.06980662047863007,0.04525850713253021,8.69251833333333,1.0452624559402466,1.0069915056228638,1.0754848718643188,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.4707475006580353,0.3058341145515442,0.26756688952445984,0.45444878935813904,-0.5292874574661255,0.030690165236592293,1.0440150499343872,0.914601743221283,1.047456979751587,0.7070840001106262,0.6240540742874146,0.9211810827255249,0.8752066493034363
Sweden,2019,1.71,2.984475168973911,15882460441.2862,7.63851022720337,14.0753192901611,,560960.5,526240.8125,10.036379,5.002136707305908,1605.2766023828558,3.435986280441284,385172.65625,539628.125,559511.0625,527787.8125,2380619.25,0.03365505486726761,0.8509702682495117,0.8367965817451477,532053.6875,383728.46875,541234.1875,2393696.0,1.0511839389801025,1.0050818920135498,0.9927489161491394,0.5566661953926086,0.06973101943731308,0.04590817168354988,9.45834916666666,0.9815095663070679,0.9488353133201599,1.0058661699295044,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.46630820631980896,0.2926468849182129,0.26347872614860535,0.44434648752212524,-0.49928584694862366,0.032505519688129425,0.9784114360809326,0.8673539757728577,0.9869927763938904,0.6846646666526794,0.60322105884552,0.8637753129005432,0.8098148703575134
Sweden,2020,1.67,3.3968345690290946,18517762637.6113,7.92561006546021,13.4383907318115,0.79535710811615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,2021,1.67,8.60639736102337,54838836963.2492,7.57219982147217,13.5319395065308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,2022,1.52,8.26690116179806,47939405794.3247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,2023,,3.932079430602274,23001110544.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
